epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
19,2020-05-08,52,PA,,15,state,6519,75.77708,584,574,86,0.0881,8602865,True,False
19,2020-05-07,51,PA,,15,state,5935,68.98865,411,488,78,0.0822,8602865,False,False
19,2020-05-06,50,PA,,15,state,5524,64.21117,768,410,35,0.0742,8602865,False,False
19,2020-05-05,49,PA,,15,state,4756,55.28391,494,375,31,0.0788,8602865,False,False
19,2020-05-04,48,PA,,15,state,4262,49.54164,342,344,27,0.0807,8602865,False,False
19,2020-05-03,47,PA,,15,state,3920,45.56622,193,317,11,0.0809,8602865,False,False
18,2020-05-02,46,PA,,15,state,3727,43.32278,368,306,43,0.0821,8602865,False,False
18,2020-05-01,45,PA,,15,state,3359,39.04513,360,263,39,0.0783,8602865,False,False
18,2020-04-30,44,PA,,15,state,2999,34.86048,413,224,68,0.0747,8602865,False,False
18,2020-04-29,43,PA,,15,state,2586,30.05975,267,156,24,0.0603,8602865,False,False
18,2020-04-28,42,PA,,15,state,2319,26.95614,100,132,10,0.0569,8602865,False,False
18,2020-04-27,41,PA,,15,state,2219,25.79373,149,122,8,0.055,8602865,False,False
18,2020-04-26,40,PA,,15,state,2070,24.06175,325,114,19,0.0551,8602865,False,False
17,2020-04-25,39,PA,,15,state,1745,20.28394,166,95,9,0.0544,8602865,False,False
17,2020-04-24,38,PA,,15,state,1579,18.35435,312,86,33,0.0545,8602865,False,False
17,2020-04-23,37,PA,,15,state,1267,14.72765,72,53,10,0.0418,8602865,False,False
17,2020-04-22,36,PA,,15,state,1195,13.89072,169,43,5,0.036,8602865,False,False
17,2020-04-21,35,PA,,15,state,1026,11.92626,124,38,3,0.037,8602865,False,False
17,2020-04-20,34,PA,,15,state,902,10.48488,217,35,1,0.0388,8602865,False,False
17,2020-04-19,33,PA,,15,state,685,7.96246,44,34,1,0.0496,8602865,False,False
16,2020-04-18,32,PA,,15,state,641,7.45101,14,33,1,0.0515,8602865,False,False
16,2020-04-17,31,PA,,15,state,627,7.28827,70,32,6,0.051,8602865,False,False
16,2020-04-16,30,PA,,15,state,557,6.47459,70,26,5,0.0467,8602865,False,False
16,2020-04-15,29,PA,,15,state,487,5.6609,103,21,0,0.0431,8602865,False,False
16,2020-04-14,28,PA,,15,state,384,4.46363,74,21,7,0.0547,8602865,False,False
16,2020-04-13,27,PA,,15,state,310,3.60345,51,14,0,0.0452,8602865,False,False
16,2020-04-12,26,PA,,15,state,259,3.01062,22,14,3,0.0541,8602865,False,False
15,2020-04-11,25,PA,,15,state,237,2.7549,20,11,2,0.0464,8602865,False,False
15,2020-04-10,24,PA,,15,state,217,2.52242,48,9,2,0.0415,8602865,False,False
15,2020-04-09,23,PA,,15,state,169,1.96446,4,7,1,0.0414,8602865,False,False
15,2020-04-08,22,PA,,15,state,165,1.91797,11,6,1,0.0364,8602865,False,False
15,2020-04-07,21,PA,,15,state,154,1.7901,31,5,0,0.0325,8602865,False,False
15,2020-04-06,20,PA,,15,state,123,1.42976,37,5,4,0.0407,8602865,False,False
15,2020-04-05,19,PA,,15,state,86,0.99967,4,1,0,0.0116,8602865,False,False
14,2020-04-04,18,PA,,15,state,82,0.95317,7,1,0,0.0122,8602865,False,False
14,2020-04-03,17,PA,,15,state,75,0.8718,26,1,0,0.0133,8602865,False,False
14,2020-04-02,16,PA,,15,state,49,0.56958,8,1,0,0.0204,8602865,False,False
14,2020-04-01,15,PA,,15,state,41,0.47659,7,1,1,0.0244,8602865,False,False
14,2020-03-31,14,PA,,15,state,34,0.39522,8,0,0,0.0,8602865,False,False
14,2020-03-30,13,PA,,15,state,26,0.30222,6,0,0,0.0,8602865,False,False
14,2020-03-29,12,PA,,15,state,20,0.23248,2,0,0,0.0,8602865,False,False
13,2020-03-28,11,PA,,15,state,18,0.20923,2,0,0,0.0,8602865,False,False
13,2020-03-27,10,PA,,15,state,16,0.18598,3,0,0,0.0,8602865,False,False
13,2020-03-26,9,PA,,15,state,13,0.15111,6,0,0,0.0,8602865,False,False
13,2020-03-25,8,PA,,15,state,7,0.08137,2,0,0,0.0,8602865,False,False
13,2020-03-24,7,PA,,15,state,5,0.05812,0,0,0,0.0,8602865,False,False
13,2020-03-23,6,PA,,15,state,5,0.05812,1,0,0,0.0,8602865,False,False
13,2020-03-22,5,PA,,15,state,4,0.0465,2,0,0,0.0,8602865,False,False
12,2020-03-21,4,PA,,15,state,2,0.02325,0,0,0,0.0,8602865,False,False
12,2020-03-20,3,PA,,15,state,2,0.02325,1,0,0,0.0,8602865,False,False
12,2020-03-19,2,PA,,15,state,1,0.01162,0,0,0,0.0,8602865,False,False
12,2020-03-18,1,PA,,15,state,1,0.01162,1,0,0,0.0,8602865,False,False
